CODIGO DE BARRAS,CODIGO INT,DESCRIPCION,Proveedor,CANTIDADES,stock al cargar,Entrada,Salida,Macros,Macros,Stock
7.798E+12,RCU774,CUADRI TURBO SPEED,JUGUETOYS,2,2,0,0,0,0,
7.78989E+11,FRO9376,HATCHIMALS ROMPECABEZA 48,CAFFARO,16,16,0,0,0,0,
7.79458E+12,FMU0530,JULIETA CON ROPACA,JUGUETECH,60,60,0,0,0,0,
5.19016E+12,EX33,PARLANTE X33,CLAUDIO,32,32,0,0,0,0,
7.79703E+12,RAB3026,AUTO BATERIA BMW Z8,LOVE,2,2,0,0,0,0,
6.30997E+11,FJU6536,SHOPKINS MEGAPACK CON FIGURAS 20+4,CAFFARO,54,54,0,0,0,0,
6.30997E+11,FJU6615,SHOPKINS BLISTER CON FIGURAS 12,CAFFARO,48,48,0,0,0,0,
6.30997E+11,FAU6642,CUITIE CARS CON FIGURAS,CAFFARO,84,84,0,0,0,0,
7.78988E+11,NRO8468,ROMPECABEZA HUEVITO HATCHIMALS,CAFFARO,104,104,0,0,0,0,
6.30997E+11,FMU6551,SHOPKINS FIGURA MAS CANASTITA,CAFFARO,32,32,0,0,0,0,
7.90801E+12,HRC7216,VENGADORES AUTO RC,ARBREX,30,30,0,0,0,0,
6.30997E+11,FJU6145,SHOPKINS CON FIGURAS X 12,CAFFARO,18,18,0,0,0,0,
7.78989E+11,NRO8359,ROMPECABEZA PAW PATROL,CAFFARO,90,90,0,0,0,0,
7.90801E+12,HRC7158,Auto control spider,ARBREX,48,48,0,0,0,0,
7.798E+12,BSO6308,SONAJERO INFLABLE,CAFFARO,180,180,0,0,0,0,
7.79703E+12,RCO0298,COCHE TRES RUEDAS,LOVE,6,6,0,0,0,0,
7.79703E+12,RCO2206,COCHE SMART CON HUEVITO,LOVE,2,2,0,0,0,0,
7.79703E+12,RCO1240,COCHE CON HUEVITO,LOVE,2,2,0,0,0,0,
7.79703E+12,RCO1257,COCHE PARAGUITAS,LOVE,4,4,0,0,0,0,
7.79703E+12,RCO0194,COCHE PARAGUITAS,LOVE,4,4,0,0,0,0,
6.99121E+12,NJU1915,HATCHIMALS,DITOYS,16,6,0,0,0,10,
7.7981E+12,RCO-BEN5A,COCHE Huevito,BEBITOS,0,0,0,0,0,0,
1.205E+11,RCOE212,Coche paraguitas ,BEBITOS,21,21,0,0,0,0,
5.58724E+12,BSO8724,SONAJERO PARA COCHE ANIMALITOS,Mar-Plast,0,,0,0,0,0,
7.79803E+12,FFI8772,SOGA SALTAR FIORELLA MUSICAL,Mar-Plast,0,,0,0,0,0,
5.67837E+12,HAU7837,PISTA DE AUTOS F1 285CM,Mar-Plast,0,,0,0,0,0,
5.74998E+12,RPA4998,PATINETA TIPO/B EJES/METAL RUEDA/PVC,Mar-Plast,0,,0,0,0,0,
5.74999E+12,RPA4999,SET PROTECTOR PATINETA X3 ELEMENTOS,Mar-Plast,0,,0,0,0,0,
5.75001E+12,RPA5001,CASCO PROTECTOR P/BICI/SKATE 16977-4 BOL/SOLAPA,Mar-Plast,0,,0,0,0,0,
5.77608E+12,NME7608,Lotto Bingo,San Remo,0,,0,0,0,0,
5.88964E+12,FBZ8964,SET BELLEZA PARA PELO CON TRENZADO Y BLISTER,Mar-Plast,0,,0,0,0,0,
5.01028E+12,NDE2838,Set Ping Pong,San Remo,0,,0,0,0,0,
5.01028E+12,NDE2840,SET PING PONG PROFESIONAL 2 PELOS,Mar-Plast,0,,0,0,0,0,
5.01054E+12,RSK5449,SKATE INFANTIL 60X15CM EJE PLASTICO RUEDAS/PVC,Mar-Plast,0,,0,0,0,0,
5.01058E+12,RRO5822,ROLLER CHICOS EXTENSIBLE LARGO 30 ALTO 33,Mar-Plast,0,,0,0,0,0,
5.01084E+12,HAU8433,AUTO F1 FRICCION PILOTO 26CM UJA,Mar-Plast,0,,0,0,0,0,
5.01096E+12,FRE9579,CAJA REGISTRADORA MEDIANA CON PRODUCTOS SCAN LUZ Y SONIDO,Mar-Plast,0,,0,0,0,0,
5.01097E+12,NMU9710,BATERIA MUSICAL INFANTIL 3 TAMBORES PLATILLOS CON BANCO,Mar-Plast,0,,0,0,0,0,
5.01099E+12,NDE9945,JUEGO FUTBOL PARA DEDOS 12 PZS,Mar-Plast,0,,0,0,0,0,
5.01108E+12,FBZ0819,SET DE BELLEZA PELO INFANTIL CON TRENZADO BEADS,Mar-Plast,0,,0,0,0,0,
5.01187E+12,NAN8687,SET GRANJA CON TRACT.ACOPLADO ANIMALES Y ACC.,Mar-Plast,0,,0,0,0,0,
5.01188E+12,HAU8847,SEMBRADORA FRICCION GRANDE,Mar-Plast,0,,0,0,0,0,
